0.25 3.3539256425613504e-08 [9] [9] "[ True]"
 8 8 1 1 7 2 5 2 8 9 0 3 8 6 4 6 6 0 7]" "[3 8 1 6 6 3 6 3 1 3 9 5 7 9 8 5 9 8 6 7 2 9 4 2 4 4 9 6 6 5 4 3 9 3 4 9 9
 5 4 6 6 8 9 3 7 2 9 8 7 3 8 8 7 5 5 3 7 5 6 6 2 1 2 3 9 2 3 8 8 9 2 9 3 3
 8 8 1 1 7 5 7 2 8 9 9 3 8 6 7 6 6 2 7]" "[ True  True False  True  True False  True  True  True False  True  True
  True  True  True  True False  True  True  True False  True False  True
  True False  True  True  True  True  True False  True False  True False
  True  True  True  True  True False  True  True  True False  True  True
 False  True  True  True  True False False False  True False  True  True
  True  True  True  True False  True False  True  True False  True  True
  True  True  True  True  True  True  True False False  True  True  True
 False  True  True  True False  True  True False  True]"
17.25 1.2542944617181662 "[3 8 8 6 6 1 6 3 1 0 9 5 7 9 8 5 7 8 6 7 0 9 5 2 4 0 9 6 6 5 4 5 9 2 4 1 9
 5 4 6 6 0 9 3 7 6 9 8 0 3 8 8 7 7 4 6 7 3 6 3 6 2 1 2 3 7 2 6 8 8 0 2 9 3
 3 8 8 1 1 7 2 5 2 8 9 0 3 8 6 4 6 6 0 7]" "[3 8 1 6 6 3 6 3 1 3 9 5 7 9 8 5 9 8 6 7 2 9 4 2 4 4 9 6 6 5 4 3 9 3 4 9 9
 5 4 6 6 8 9 3 7 2 9 8 7 3 8 8 7 5 5 3 7 5 6 3 6 2 1 2 3 9 2 3 8 8 9 2 9 3
 3 8 8 1 1 7 5 7 2 8 9 9 3 8 6 7 6 6 2 7]" "[ True  True False  True  True False  True  True  True False  True  True
  True  True  True  True False  True  True  True False  True False  True
  True False  True  True  True  True  True False  True False  True False
  True  True  True  True  True False  True  True  True False  True  True
 False  True  True  True  True False False False  True False  True  True
  True  True  True  True  True False  True False  True  True False  True
  True  True  True  True  True  True  True  True False False  True  True
  True False  True  True  True False  True  True False  True]"
17.5 1.3465596095998393 "[3 8 8 6 6 1 6 3 1 0 9 5 7 9 8 5 7 8 6 7 0 9 5 2 4 0 9 6 6 5 4 5 9 2 4 1 9
 5 4 6 6 0 9 3 9 7 6 9 8 0 3 8 8 7 7 4 6 7 3 6 3 6 2 1 2 3 7 2 6 8 8 0 2 9
 3 3 8 8 1 1 7 2 5 2 8 9 0 3 8 6 4 6 6 0 7]" "[3 8 1 6 6 3 6 3 1 3 9 5 7 9 8 5 9 8 6 7 2 9 4 2 4 4 9 6 6 5 4 3 9 3 4 9 9
 5 4 6 6 8 9 3 9 7 2 9 8 7 3 8 8 7 5 5 3 7 5 6 3 6 2 1 2 3 9 2 3 8 8 9 2 9
 3 3 8 8 1 1 7 5 7 2 8 9 9 3 8 6 7 6 6 2 7]" "[ True  True False  True  True False  True  True  True False  True  True
  True  True  True  True False  True  True  True False  True False  True
  True False  True  True  True  True  True False  True False  True False
  True  True  True  True  True False  True  True  True  True False  True
  True False  True  True  True  True False False False  True False  True
  True  True  True  True  True  True False  True False  True  True False
  True  True  True  True  True  True  True  True  True False False  True
  True  True False  True  True  True False  True  True False  True]"
17.5 1.5309416676672212 "[3 8 8 6 6 1 6 3 1 0 9 5 7 9 8 5 7 8 6 7 0 9 5 2 4 0 9 6 6 5 4 5 9 2 4 1 9
 5 4 6 6 0 9 3 9 7 6 9 8 0 3 8 8 7 7 4 6 7 3 6 3 6 2 1 2 3 7 2 6 8 8 0 2 9
 3 3 8 8 1 1 7 2 5 2 8 9 0 3 8 6 4 6 6 0 0 7]" "[3 8 1 6 6 3 6 3 1 3 9 5 7 9 8 5 9 8 6 7 2 9 4 2 4 4 9 6 6 5 4 3 9 3 4 9 9
 5 4 6 6 8 9 3 9 7 2 9 8 7 3 8 8 7 5 5 3 7 5 6 3 6 2 1 2 3 9 2 3 8 8 9 2 9
 3 3 8 8 1 1 7 5 7 2 8 9 9 3 8 6 7 6 6 2 2 7]" "[ True  True False  True  True False  True  True  True False  True  True
  True  True  True  True False  True  True  True False  True False  True
  True False  True  True  True  True  True False  True False  True False
  True  True  True  True  True False  True  True  True  True False  True
  True False  True  True  True  True False False False  True False  True
  True  True  True  True  True  True False  True False  True  True False
  True  True  True  True  True  True  True  True  True False False  True
  True  True False  True  True  True False  True  True False False  True]"
17.75 1.6123905115382557 "[3 8 8 6 6 1 6 3 1 0 9 5 7 9 8 5 7 8 6 7 0 4 9 5 2 4 0 9 6 6 5 4 5 9 2 4 1
 9 5 4 6 6 0 9 3 9 7 6 9 8 0 3 8 8 7 7 4 6 7 3 6 3 6 2 1 2 3 7 2 6 8 8 0 2
 9 3 3 8 8 1 1 7 2 5 2 8 9 0 3 8 6 4 6 6 0 0 7]" "[3 8 1 6 6 3 6 3 1 3 9 5 7 9 8 5 9 8 6 7 2 4 9 4 2 4 4 9 6 6 5 4 3 9 3 4 9
 9 5 4 6 6 8 9 3 9 7 2 9 8 7 3 8 8 7 5 5 3 7 5 6 3 6 2 1 2 3 9 2 3 8 8 9 2
 9 3 3 8 8 1 1 7 5 7 2 8 9 9 3 8 6 7 6 6 2 2 7]" "[ True  True False  True  True False  True  True  True False  True  True
  True  True  True  True False  True  True  True False  True  True False
  True  True False  True  True  True  True  True False  True False  True
 False  True  True  True  True  True False  True  True  True  True False
  True  True False  True  True  True  True False False False  True False
  True  True  True  True  True  True  True False  True False  True  True
 False  True  True  True  True  True  True  True  True  True False False
  True  True  True False  True  True  True False  True  True False False
  True]"
18.0 1.612548642799482 "[3 8 8 6 6 1 6 3 1 0 9 5 7 9 8 5 7 8 6 7 0 4 9 5 2 4 0 9 6 6 5 4 5 9 2 4 1
 9 5 4 6 5 6 0 9 3 9 7 6 9 8 0 3 8 8 7 7 4 6 7 3 6 3 6 2 1 2 3 7 2 6 8 8 0
 2 9 3 3 8 8 1 1 7 2 5 2 8 9 0 3 8 6 4 6 6 0 0 7]" "[3 8 1 6 6 3 6 3 1 3 9 5 7 9 8 5 9 8 6 7 2 4 9 4 2 4 4 9 6 6 5 4 3 9 3 4 9
 9 5 4 6 5 6 8 9 3 9 7 2 9 8 7 3 8 8 7 5 5 3 7 5 6 3 6 2 1 2 3 9 2 3 8 8 9
 2 9 3 3 8 8 1 1 7 5 7 2 8 9 9 3 8 6 7 6 6 2 2 7]" "[ True  True False  True  True False  True  True  True False  True  True
  True  True  True  True False  True  True  True False  True  True False
  True  True False  True  True  True  True  True False  True False  True
 False  True  True  True  True  True  True False  True  True  True  True
 False  True  True False  True  True  True  True False False False  True
 False  True  True  True  True  True  True  True False  True False  True
  True False  True  True  True  True  True  True  True  True  True False
 False  True  True  True False  True  True  True False  True  True False
 False  True]"
18.0 1.6566820996289247 "[3 8 8 0 6 6 1 6 3 1 0 9 5 7 9 8 5 7 8 6 7 0 4 9 5 2 4 0 9 6 6 5 4 5 9 2 4
 1 9 5 4 6 5 6 0 9 3 9 7 6 9 8 0 3 8 8 7 7 4 6 7 3 6 3 6 2 1 2 3 7 2 6 8 8
 0 2 9 3 3 8 8 1 1 7 2 5 2 8 9 0 3 8 6 4 6 6 0 0 7]" "[3 8 1 1 6 6 3 6 3 1 3 9 5 7 9 8 5 9 8 6 7 2 4 9 4 2 4 4 9 6 6 5 4 3 9 3 4
 9 9 5 4 6 5 6 8 9 3 9 7 2 9 8 7 3 8 8 7 5 5 3 7 5 6 3 6 2 1 2 3 9 2 3 8 8
 9 2 9 3 3 8 8 1 1 7 5 7 2 8 9 9 3 8 6 7 6 6 2 2 7]" "[ True  True False False  True  True False  True  True  True False  True
  True  True  True  True  True False  True  True  True False  True  True
 False  True  True False  True  True  True  True  True False  True False
  True False  True  True  True  True  True  True False  True  True  True
  True False  True  True False  True  True  True  True False False False
  True False  True  True  True  True  True  True  True False  True False
  True  True False  True  True  True  True  True  True  True  True  True
 False False  True  True  True False  True  True  True False  True  True
 False False  True]"
18.0 1.7472396435316555 "[3 8 8 0 6 6 1 6 3 1 0 9 5 7 9 8 5 7 8 6 7 0 4 9 5 2 4 0 9 6 6 5 4 5 9 2 4
 1 9 5 4 6 5 6 0 9 3 9 7 6 9 8 0 3 8 8 7 7 4 6 7 3 6 3 6 2 1 2 3 7 2 6 8 8
 0 2 9 3 3 8 8 1 1 7 2 5 2 7 8 9 0 3 8 6 4 6 6 0 0 7]" "[3 8 1 1 6 6 3 6 3 1 3 9 5 7 9 8 5 9 8 6 7 2 4 9 4 2 4 4 9 6 6 5 4 3 9 3 4
 9 9 5 4 6 5 6 8 9 3 9 7 2 9 8 7 3 8 8 7 5 5 3 7 5 6 3 6 2 1 2 3 9 2 3 8 8
 9 2 9 3 3 8 8 1 1 7 5 7 2 9 8 9 9 3 8 6 7 6 6 2 2 7]" "[ True  True False False  True  True False  True  True  True False  True
  True  True  True  True  True False  True  True  True False  True  True
 False  True  True False  True  True  True  True  True False  True False
  True False  True  True  True  True  True  True False  True  True  True
  True False  True  True False  True  True  True  True False False False
  True False  True  True  True  True  True  True  True False  True False
  True  True False  True  True  True  True  True  True  True  True  True
 False False  True False  True  True False  True  True  True False  True
  True False False  True]"
